text,tag,,,
"Hannah Sellers   they eased off on their mask chat then?  funny thing is I read someone comment about wearing a mask to sneeze into! It’s your body clearing it’s self out and she’s suggesting we all suck that back in. Common sense tells us to cover a sneeze this way anyway, or with a tissue, handkerchief if you have one to hand.",4,,,
Luv reading the neurotic commentary below.  Telling folks how to sneeze and how to live their life. Interesting,1,,,
Wear a mask ! So many people are not doing this !,1,,,
.  this is what they were for and no excuse for coughing or sneezing without one.,4,,,
"And yes, do this even when you’re wearing a mask",3,,,
"This should be common etiquette at any time, not just during a pandemic!",3,,,
What a laugh they're not even wearing masks in this advert after we've all been told wee have to. If anyones got a cough or cold they should not be out at all let alone on London transport..,1,,,
Every one should wear mask also for effective  protection.,3,,,
"It's too bad hospital beds go to these people when they get sick. Mask wearers first, non-mask wearers last. Just saying.",1,,,
"Take a tablet of hydroxy chloroquine every morning, it is a prophylactic medication that prevents covid.",3,,,
It means without masks we can survive,4,,,
You should always cover when coughing or sneezing. Not just now. No one ever wanted to have any one else’s germs on them. Duh!,3,,,
"Pretty sad people still need to be told how to cough and sneeze! Sorry but I don’t need the CDC, WHO or the government to tell me how to practice good hygiene and to be considerate of others.",1,,,
What about coughing into your mask and then breathing in your own germs...asking for a friend...,2,,,
"There are still people that think masks make them choke in their own carbon dioxide even though this is not true, they still think they shouldn’t have to wear them if they aren’t sick because they don’t understand that Covid can be asymptomatic.. WHO and CDC need to start a campaign and blast social media debunking this.",2,,,
Why the hell don’t these people have masks on!,1,,,
"coughing etc, but no mention of masks.",2,,,
Better still  WEAR A MASK,3,,,
Let's show some consideration to the Ethiopians that the director of the WHO personally tortured to death while working with the Communist party there.,1,,,
"why did you do an ad with the characters not wearing a mask  - and yes besides wearing a mask in public transport you can still also make sure you cough or sneeze into your elbow, heck anything extra helps - helps you helps others",2,,,
We have learned a lot more due to COVID19  COVID19 is real and dangerous  How many people get flu every year..... because we never cover coughs and wear masks So wear your mask and cover your cough. Stay 2m apart from other people Do you hear people die?,3,,,
"Good advice! And wear a mask, better advice! I encourage positivity here, to all folks of the world! Not wearing a mask could mean you and others get sick. Your child, or your parents; people more vulnerable. It can't hurt you to wear a mask. Proud Canadian mask wearer and social distancer!",4,,,
"I know this will get lost in the comments but sometimes I like to go into the backyard, lay in the garden, then cover myself with dirt & pretend I'm a carrot.",3,,,
Everyone always say where a mask. But now they say you don't have to when you vote. HELLO..... This is all about politics. Swim in water parks and pools but can't get a book from the library and no gym and no movie and eat in a restaurant but not fast food restaurant. Some churches have only outside service. Just government telling us how to live.,1,,,
Perhaps if common sense was taught in school instead of common core we would not have half of the problems society is experiencing...,1,,,
Keep spray hand sanitizer if you need to cough or sneeze cover your mouth with your inner elbow. Spray hand sanitizer on inner elbow after sneezing or coughing.,3,,,
I hope you weren't successful and passed it on to someone at risk...,3,,,
"You know what occured to me the other day? If you cough into your elbow - then do elbow bumps with someone (or more) at a meeting...then they cough into their elbow,                their mouth is very near to the germs that were on your elbow and touched his   jacket!!",2,,,
"Even if the art is older than the recent change of advice about masks, masks can be easily added with photoshop.  It is misleading to show the interior of a bus where passengers are not wearing masks!   Please, please, please change the art. This is serious.",1,,,
Oh my...It's a cartoon people. Everyone should know by now that in confined spaces and transit masks are good practice.  Although A+ for identifying it.,3,,,
Everybody I see coughing or sneezing does it into their hands. Nobody has common sense these days,2,,,
This command of wearing mask should be changed to cover your noes and mouth. Some are fulfilling righteousness of wearing mask. They cover their chin. Some take it up to the forehead,2,,,
WHO showing people without masks in a public transport? Outrageous!,1,,,
I worked n a hospital we just pulled our uniform neck open and coughed into the inside.  Because your arms are bare it worked better for us.,3,,,
This used to be common courtesy taught to all children 2 years old and older. Manners need to be taught at home and not left to WHO to teach adults with posters!,1,,,
Where are their masks?  I thought it is now mandatory on public transport in most countries.  (And of course always cover your mouth coughing or sneezing whatever the reason.),2,,,
"You should give this advice: « hey man, just make sure to say: « sorry guys! » » It would be the same...",1,,,
Why are your advertisement characters without mouth cover .,2,,,
Laughing stock. The WHO are idiots. Would be better to tell people to use tissues NOT their sleeves,1,,,
"Mask requirements are not working and people are not wearing them. No matter what article I read, no one is discussing the REAL reason for mask which is to SLOW the spread so that hospitals have the room and supplies to treat everyone.  It's like no one get it at all  even tho it's been explained over and over and over.",2,,,
"If you need to tell grow adults to do that, I think we have an issue.",2,,,
Yes so definitely true obey the rules that the government's set out for all of us to stay safe. And to stop the spread so to each and everyone else ppl's obey and stick with these rules,4,,,
We have received several ICU patients. Who decided to hang around covid positive people to get “ herd immunity “. Hey guys keep it up. I need the job security.  The morgue guy is also getting a lot more work.  Thank you to all the people not wearing masks. We are getting a lot of mandatory overtime. I am getting a lot of muscles proning and rolling patient s to keep them alive. Keep it up and there will be no one left to vote for your supreme leader,1,,,
Why has it taken a pandemic for people to realize they should not be sneezing into open air,2,,,
"That's just common courtesy, it should always have been that way. It's called manners.",3,,,
"Or...you can carry Kleenex with you at all times. I do. If I have enough warning that a cough or sneeze is coming on, I pull out a Kleenex and use it. This saves me from spewing my germs onto my clothes.  Good idea to carry with you a little bottle of hand sanitizer, too. We should clean our hands after using a Kleenex. Hand sanitizer is good when you can’t wash your hands.",3,,,
No problem if you already have a mask on. As you should travelling on public transport,3,,,
The rule everywhere should be to wear a mask on public transportation!,3,,,
Why you shouldn’t touch elbows instead of handshakes.,,,,
"All you should  know people is that we've  to follow the five preventive  measures  wash hand regularly, physical distancing, sneeze en cough in th folded elbow,  use hand sanitizer  and no hand shakes. Mask up in th crowded  places now every one  is aware of these the WHO was trying to show us on how sit in public and also how to cough and sneeze",,,,
Unfortunately personal hygiene has gone out the window. The amount of people I’ve seen walk straight out of toilets and not wash their hands is horrendous. So basically they have to be reminded to wash their hands.,1,,,
", only sick people should wear a mask. But if it makes you feel better, ok. Don’t hassle people who aren’t sick and choose freedom over a muzzle.",3,,,
"it would be much more accurate to use tissue paper, if not, how naturally it sneezes should be (head down by tilting between two knees). If you sneezed into your elbow, where did the droplets from your body remain? On your dress. Then you tied your arms and your hand touched the area you sneezed. Then you got stuck somewhere. Then someone else grabbed the same place. Let's say you are wearing a short sleeve dress, how will you sneeze into your elbow? It has to be smart and logical. When people sneeze, their heads and necks are leaning towards the ground and sneezing with a high pressure, and the droplets from sneezing do not fly into the air. People are created like this.",3,,,
What is a big joke is a face shield. Virus can easily get in and out. People wear them only so they don't get in trouble for not having a face covering. WHO does say only people that should be wearing a mask are working in the medical field and caring for the sick and people that have bad health issues and low immune system. I had a customer pass out in front of her 10 year old son and her son took off his mask and threw it on the ground. How do you think he will act at school when he sees his mom passed out in front of him. Two days later they came back and the son was clinging to his mom. A guy passed out wearing one while driving and crashed into a pole. Not everyone can tolerate wearing one especially if never wore one ever in their lives.,2,,,
"So sad that grown adults are just now learning basic, proper hygiene.  Glad I’m a responsible parent that actually teaches my children manners...my four year old always sneezes into his elbow, but other grown family members were apparently never taught this",2,,,
"Sad that the CDC is actually having to put put reminders for something that should be basic manners.. I was doing this stuff since 5 years old. ""Cover your mouth!"" If I didnt I got in trouble. Like is basic manners and hygiene not a thing anymore? Must not be.",1,,,
"has nothing to do with compliance, it is about caring enough about your grandmother and grangfather and parents to keep them safe. hope your family thinks you are special in light of you not thinking they are special",2,,,
elbow not safe.,2,,,
I thought you require all to wear a Mask. It’s much safer to sneeze or cough with your mask on than sneeze with your elbow with no mask. In the picture all are not wearing mask. Very dangerous if the virus linger in the air for 3 hours.,1,,,
"Um....why would they need to do that when they have a mask on to stop all that spray?? Tired of the changing narratives. So, no masks needed on public transportation so long as you use your manners and cover your sneeze appropriately?",1,,,
"To most of the brainwashed people on here thinking that wearing those cheap mask helps protect you from viruses newsflash they don't. My son's friends mum is a nurse, and they wear a special type of fitted mask.  These mask which surgeons and nurses wear are completely different to the ones you see people outside wearing.",2,,,
"Also, don't bully someone if they cough or sneeze. Some of us have allergies and other reasons why we cough and sneeze, not COVID-19 related. Yes, I wear a mask, and yes I cough and sneeze into my elbow. I've also been stared at and approached rudely because I've sneezed and coughed due to allergies. I had my mask on when this happened. Please don't jump to conclusions, and don't bully each other.",3,,,
Tissue paper and handkerchiefs do not exist in the world of WHO? And where are the face masks?? And then you go to the office with your arms full of ...erh...,1,,,
"Cough into your mask and do NOT pull it down to do it!!! When you have an opportunity to change it, get a fresh one.",1,,,
Because covering your mouth with your outer elbow is difficult.,3,,,
"Public appearances without mask should be treated as an offence. If anyone is shown not wearing a mask in television, print or social media, a statutory warning like ""Not wearing a mask is detrimental to human life"" or any other appropriate tagline  should be run with the image.  This should be similar to the warning ""Smoking is injurious to health"" that is carried with any smoking scene in a movie.",2,,,
It is better to sneeze into your shirt/into your chest. There is no spraying of your fluids if you put it in your shirt. That's what I teach our kids.,3,,,
"No, it is not under control. And, if you care to use Google or alternatively YouTube you should be able to find videos that demonstrate clearly how breath is distributed in the air - and thus the virus - with and without pressure. Quite obviously the more pressure is involved in the exhalation the further it is spread. In other words: wear the mask AND cough or sneeze into your armpit! And hope for the best, i.e. that people surrounding you will be as considerate.",2,,,
We can't escape covid 19 because even if you wear masks you pull oxygen from out side and spread carbon dioxide out,3,,,
It only costed a pandemic for people to learn to cover there mouths or wash  hands after going to the toliet simple hygiene practises amazing,2,,,
"You all should be infected with COVID 19. Then as you lay drowning in fluid filling your lungs you will know how lovely it feels to drown in your own body. Perhaps it is not that important to save everyone. Maybe the intelligent, sensible people with brains not made out of marshmallow. I feel sorry for you. I really do.",2,,,
"If they are travelling on public transport,they will be wearing a mask!! Nice to wear a snot filled mask!!",1,,,
Mask wearing should be made mandatory if only it can protect us from contact it .,3,,,
He works for a private company. You see all the aircraft in museums and outside different places and the United States that's what all they do,1,,,
"Nobody has the right to tell another how to live, what to wear! Have you seen those STARVING FAMILYS LIVING IN LITERAL GARBAGE, NO SHOES..ETC. They are not fearful their immune systems are strong, if they seen you people with masks on ,gloves hiding,  they'd laugh their heads off at you! f off with this crapping fear!",3,,,
"How much would it suck it cough and sneeze in a mask!! Your suppose to change the disposable mask every 30 mins! Who has at least 24 mask a day to use??!! Sorry maskless here and don't care! I will continue if need be to cough or sneeze into my elbow, and wash my hands. That is.",4,,,
"""When used in conjunction with widespread testing, contact tracing, quarantining of anyone that may be infected, hand washing, aind physical distancing, face masks are a valuable tool to reduce community transmission. All of these measures, through their effect onR0 , have the potential to reduce the period of lockdown required."" (Howard et al 2020:6)",3,,,
I was taught to do this since I was old enough to walk. Didnt realize that the rest of society wasnt taught to do something so simple,2,,,
Funny how the WHO recommendation is for healthy people to NOT wear masks.   AND they admit that asymptomatic people are not spreading this like they thought. (Very rare)  This is why so many of us are never going to live out your idiotic demands that we wear a mask.,1,,,
"Where is this?? in New Jersey you cannot enter ANY  store, ANY means of public transportation without wearing a mask! No wonder why it's spreading like it is throughout the country. Us New Jerseyans are practicing staying at home except for essential  now that it's summer we are getting all these out-of-towners thrashing up our beaches like the spread of the  coronavirus  I hate to see what September is going to bring    When back-to-school doesn't happen",2,,,
"I’ve been coughing and sneezing into my shirt. I don’t really go in public much though, except to parks and grocery pickup (if that counts).",3,,,
"If anyone of us haven,t face mask or forgot to wear it when he / she is out of  home might have abruptly sneez or cough,  do it safely so that they do not feel inconvenience or insecure nearby you. Plz consider others health as well.",2,,,
When was this put out I’m just shocked it’s even out. Lol reason being should just be able to sneeze since masks are great an suppose to be worn.,1,,,
If we want to help we need laws about coughing not consideration.,3,,,
"I feel coughing into a tissue and throwing it away then Saniztizer hands, Is much safer way. You are coughing up germs into clothes to then carry around with you.",3,,,
WEAR A MASK. OUR LIVES DEPEND UPON IT.,1,,,
Slowly slowly this disease is getting bigger. We have to protect ourselves and the safety of the other is also in our hands.,3,,,
"Even when it's seasonal allergies not a virus cough and sneeze into elbow or Kleenex... I don't want to be spitting on people or vice versa, that's gross enough when my toddler does it never mind a stranger...",3,,,
"And What about the unconscious and ignorant people in our society that they really don't  care about  themselves, how will the idea of ​​covering the face during sneezing come to them and they basically do not believe this epidemic maybe covied_19 must be visible for them to believe just a lot of aware no more",2,,,
"In other words: When you feel like your nose needs to give an ""achoo"" Listen up close, this is what you do Raise your a up high, bend it toward your face And sneeze right *there*, in the bendy place",3,,,
"We were taught this as babies, why is it so difficult to understand this as adults ????? Cover your mouth.",1,,,
It's like guy gobbling on the street as you walk bye? When I was 20 years old 30 years ago it was considered to be disgusting slob thing to do !  But its every where now!  Where has public respect gorn too?  Outer space I'd say,1,,,
"Why isn’t anyone wearing Face masks, WHO I greatly appreciate all your work but there are so many people out there who don’t. You desperately need to get relate to ALL people, even the crazy radicals a rename would be a good start.",1,,,
"I never go out anymore, I'm 69 with Diabetes, heart issues, Asthma, and  C.O.P.D..  luckily my daughter does my Grocery Shopping and picks up my Meds.",3,,,
"Wait, I thought you said we needed to wear masks. So why do I need to cough in my elbow? Does the mask NOT filter out particles when you cough or sneeze?? Hmmm???",2,,,
"Omg the hate comments, and dictating to people are still flowing, hardest subject that people could ever learn In school, the minding their own business ..",3,,,
Just wear a mask at all times if out of your own home!!!!,1,,,
Show consideration by not following the WHO who are actually ran by a cult and use cult tactics to brainwash people,1,,,
Its good habit to create. I sang in choir at church we were to do a concert and the director was adamant about coughing in the arm so no one get sick for concert. And no one got sick either! Sitting close together.,4,,,
Maybe if people weren't such disgusting savages and followed these simple guidelines well before Covid we'd be in a different place.,2,,,
1 meter social distancing is not enough. Considering that the corona virus could be an airborne disease. It should be at least 3 meters social distancing...,3,,,
I need to cover their face with something if they can't afford mask get a scarf and cover your head if you're riding on a public system and keep your distance,3,,,
Wear a MASK!!!!,1,,,
main impact was due to  mask ......see proof in epidemic of 1919spanish flu on u tube,2,,,
Shouldn't they all be wearing masks?,2,,,
where are the passenger masks?,2,,,
This is a consideration for ALL times - not just because of COVID!,3,,,
"People, people. This image may have been made before Covid and the need for public to wear masks. Calm down. The message is be considerate to others when sneezing or coughing.",4,,,
The manners of good mannering have gone down the toilet we are living in a broken world with disobedient people the sods.,2,,,
"And provide a home for all those expelled germs .... to breed, multiply and infect others....",2,,,
And now everyone thinks they are safer by bumping elbows (that everyone is sneezing into) to stop the spread of a highly survivable virus.  You can't keep this mess straight.,1,,,
"Wear a mask and social distance and stay away from the crowd if you are sick, better to stay home and don't spread the germs!!",1,,,
"BS... my wearing a mask MAINTAINS YOUR FREEDOMS & LIBERTIES!! It's called ALTRUISM OR SELFLESSNESS!! It's not politics, it NEVER was meant to be! Health Science, Anatomy & Physiology are NOT BASED in politics, they're grounded by FACTS!!  If I have COVID19 .. AND I CANNOT KNOW IF I DO W/O symptoms, I INSIST on preventing YOU from getting it FROM ME!!  I could NEVER sleep at night knowing I caused you & your family harm in any way, let alone my own wife & kids or extended family!!",1,,,
"Never understood that...  I can immediately sanitize my hands, so why walk around with contaminated sleeve ?",2,,,
Is this ad a joke? Wear a mask or face covering FFS! Stay home at the slightest symptom!,1,,,
"satanists, they exposed themselves and cannot be trusted. People know the rules of hygiene without WHO silly posts",1,,,
WEAR A MASK IT IS EVEN BETTER!,1,,,
I thought that a Wuhan flu mask was supposed to take care of this. I guess you finally admit that the Wuhan flu mask DOES NOTHING.,3,,,
If people washed their hands and covered their faces like this we probably wouldn’t be in such a mess right now!,2,,,
"Please make some good and informative illustrations, encourage everyone to use a mask",2,,,
Where are their masks??,2,,,
People whom don’t want to wear a mask feel it’s their right and this is a control thing. Feel free to visit your local hospital and ask how many covid patients are admitted there. Before thinking this is a major joke.,1,,,
Shouldn’t people on public transportation be wearing masks??,2,,,
What a joke WHO  why do not you recommend people to wear a mask when you are outside.,1,,,
Face masks should have a logo to understand why its important to where a mask               '4U - 4ME' I've been ridiculed for wearing one by youths in a shop (which I need to do),3,,,
Are we allowed to sneeze in public places ?,3,,,
wasn't this the considerat and common sense thing to do before covid,2,,,
"It's just another way of taking away our freedom, so that if we behave decently, with manners, consideration and common sense, having always done so anyway! But now we are doing it only because we've been ordered to. Grrrrr... An almighty affront against decent humanity and its destructive in its basic intention",1,,,
Mask up and still be courteous and sneeze or cough within the elbow... Common sense,2,,,
I wear a mask at work i work out in the hot Heat bar 3 hours but I take a 15-minute lunch break and I type my mask off long enough to eat then I put my mask back on and go back outside and work for the rest of the time it's time for me to get off and I also wear it in public,3,,,
Where are the cartoon characters' masks?,2,,,
This is just a guess and I promise I didn't cheat by checking profiles. You are all from America  ??The land of trump and crap. Check your water supply because with so many affected by stupidity it has to be a man made poison. Perhaps trump has added disinfectant.,3,,,
"Yes, meanwhile germs on your sleeve gets rubbed all over.  Think about it.",2,,,
I will not that’s why I am forced to wear a mask!,1,,,
Masks.....your mouth and nose should by covered by a mask if you are out in public especially on a bus!!!!,1,,,
"Love thy neighbor applies to more than simply wearing a mask... try treating people with dignity and respect regardless of who and where you are. Best place to practice? The places you visit daily... the grocery store, the bank, etc... if they are implementing rules their jobs require in order to keep their job to feed their families? Read the signs, watch the news, catch up on policies before you go, don’t argue or jump all over them.. shut up and go about your business. Odds are they agree with you but they are do what is required of them. Period. Wanna be heard... November is on its way. Make you vote count.",2,,,
Then great your friends by bumping elbows! Doesn’t make sense to me!!!,2,,,
Wear a mask around your neck so you can cover when necessary!! It's not brain surgery!!,1,,,
"I’m shocked the right wingers haven’t freaked out for telling them how to sneeze. It’s a free country, they will sneeze wherever they want!!!",2,,,
"Masks are useful to help stop the spread of our breathing reaching other people. We're protecting them.  Luckily, I live in WA where we've had the gov protect us from an invasion of the virus and consequently the stupidity of people who don't understand the need to wear them.",2,,,
Police officers and their parking lots to make sure you don't cause any problems if you're not wearing a mess trying to come into their store,3,,,
Common sense has gone astray. We did this long before the Covid-19 came into our world.,2,,,
"the who is brought to fresh daily from china,,any questions,,,oh and the cdc well figure dont lie,,, here either but the figurers do LIE!!!! JUST CHECK THE NUMBERS COMING OUT OF FL. CDC REPORTS...",1,,,
Common sense!  We don't need the WHO!   I know how to stay healthy without any of your nonsense advice!,1,,,
Where are the masks in this photo?  This is not your best public service message!  Lol Come on WHO....,1,,,
People are supposed to be wearing masks on public transport so why are they not addressing that in the ad,2,,,
It's out of respect whether it was COVID or not!,2,,,
"Read carefuly this comment.  It's good way, better that to avoid gathering one place or buss  Always for taking masks is best  for preventive way to covid19.",3,,,
Have known how to do this since the early 60’s.  If you were ever a waitress you learned this dah. Taught my kids too. Plus you can pull up the neckline of your shirt over your nose too.   Come on common sense,3,,,
"And then they use those same arms to greet people, doesn't make sense. Taxis are 100% full ,no social distancing",2,,,
The WHO should show consideration to the world by disappearing.,1,,,
"I don't  know why everyone is acting like washing hands , and  not sneezing or coughing on someone is a new concept",2,,,
Why isn't he using his mask? Apparently sneezing into your elbow is no longer political enough to use ! Although it WAS acceptable prior to Mar.,2,,,
Lol omg like thats not normal safety & sanitation practices ...now stop w/the harmful excessive mask wearing,2,,,
"We consider God in everyone who contributed to spreading this virus, spreading sedition, grief and fear in the hearts of people and contributed to the destruction of their lives. He is merely an inhuman, cowardly creature, stupid to a degree below the donkey.",1,,,
It's considered to be polite to cough into tempo but respetless has forgotten what respect is,2,,,
Wear a mask...some of us have trouble with this new cover thing. I cannot get my mouthin my elbow!,2,,,
Just an observation... where are the essential face coverings x,2,,,
Brookwood Inn South Carolina they were inspecting and it had live bombs in it the fire department and everybody came out to take care of it,3,,,
They should have masks on when on public transport. That is mandatory on public transport in England.,2,,,
Daily you are giving some stories...You will disappear after the this pandemic gone...And please don't come again.we are feared...,1,,,
"Lee Magnusson 99.999 of the air is not contaminated. Thus, ignorance and idioticy is now the normal logic.",2,,,
Your illustration should include masks. Why are none of the riders wearing them???,2,,,
How about JUST WEAR A MASK!!!,1,,,
Carry large handkerchieves and use one.,3,,,
If we have to wear masks which making us is against the law then why must we still do this? I forgot the masks don’t work!,1,,,
Why should someone be outside if posses cough and colds. It will cause panic to the people once they hear someone is sneezing or coughing. Better stay at home and cure first before going out.,2,,,
They are doing it to keep the fear going,1,,,
We need to protect ourselves from covid. Wearing a mask is essential now a days,2,,,
I always pull my T-shirt Up over my nose/mouth when I sneeze if there are no tissues available to use.,3,,,
This is for the good of others as well as yourself especially with viruses coughing and sneezing release particles in the atmosphere,4,,,
"How about ""wear your f'ing mask""",1,,,
You should have a mask on when riding the bus in the first place,2,,,
Thought they had to wear masks anyway !,2,,,
"WHO as much credability as Mickey Mouse, sorry Mickey Mouse has more credability! WHO nothing but a gravy train! Useless!",1,,,
don’t very about corona... it’s just a normal flu.. corona is just a conspiracy by  Pharma companies and W H O ... so take  care and always believe and stay with our natural treatment .. Ayurveda and Naturopathy,2,,,
Incredible how many adults still don't understand this.,2,,,
Just wear a mask .. who wants other's sputtering ext all over them .. show some respect in this time to the old & vunrable & get over yourself for heavens sake,1,,,
Shouldn't the WHO be recommending passengers not only to  keep their social distancing but also wear masks while travelling on public transport.,2,,,
sneezing. I've seen it where people don't bother.,2,,,
"Indeed, being considerate of others is the done thing during this crisis when it comes to coughing, sneezing, distancing and this sort of stuff.",4,,,
They are wearing mask so what is the need to cover with elbow while coughing and sneezing.,2,,,
And with a mask you inhale it back in ?  Sounds healthy,2,,,
Won't share because of the mixed message. No mask shown on train or bus.  I believe they just screwed up on image.,2,,,
"Regardless of the COVID19, I if I were a parent of a child under 12 and, like so many children, they didn’t cover their coughs or sneezes I’d make them wear a mask until they learned to cover their coughs and sneezes. I don’t know why the governments that stipulate people have to wear masks have an exemption for children under twelve citing they don’t know how to wear one. No one knows how to wear one properly until taught.",2,,,
I love it when my kids tells me the child next to them goes to school sick and coughs with their mouth open. Lifestyle habits start at home,3,,,
"What stupid!!! Why not wear Mask?!!!   Thé moment you got tot cough, it is not always possible tot cover your mouth! Please wear Mask !!!",1,,,
People really need to be told to cover their mouths when coughing or sneezing!!,1,,,
I think people are getting tired of your inconsistent messaging. This is really not helpful.,1,,,
To be safe and confident enough it's. Better to cover our nose and mouth when in public,3,,,
Pathetic. It actually isn’t about your rights ; it is about the health of your nation and fellow Americans. Hope you are proud of yourself. Your rich country has one of the worst outcomes in the world due to fools like you and you leaderless country. All those deaths! And Florida groaning under all their cases,1,,,
Bad one non Masked  elbow is also bad cause one may  come in contact with droplets through elbow greet,2,,,
The real problem is the lack of windows. Buses should be made with bigger windows which facilitate the renewal of air inside.,3,,,
BS. Your shirt collar works much better. Just pull it up cover your nose please,1,,,
Better to sneeze into your elbow than a mask and keeping the mask on rest of the day.,3,,,
What to be REALLY considerate of others ... wear a mask!,2,,,
In Luxembourg all passengers are obliged to wear a protective mask!,3,,,
Yes this habits are  vital not only for this pandemic but also    for all the time to avoid any viral infections.,3,,,
Don’t need the WHO to tell me how ton be considerate of others when sneezing.,1,,,
"The most disgusting things is to sneeze in your elbow. Ladies often wear their bags there, men touch that part of their arm with their hand and they all infect others that way. Not to talk about those who don't wash their clothes each day.",3,,,
What if you have a mask on.  This doesn’t make sense!,2,,,
But everyone on public transport had to wear a mask and presumably sneeze into that’s?,3,,,
"Yeah, but what have you done to stop the spread? You knew about this last year but said and did nothing. Now that you stand to make money from us all, you are dictating what we all do. So in the words of John Wick",1,,,
What about sneezing properly into one's tissue?,3,,,
If we have to keep reminding people about how to cough then there parents and TEACHERS did a piss poor job,1,,,
"“Show consideration for other passengers. If you need to cough or sneeze, make sure you cover your mouth with your inner elbow COVID-19.” especially while wearing a mask.",4,,,
Looks like his smelling his armpit which in some cases are more deadlier than this pandemic.,3,,,
Yes must be with mask in public place.  Not like all ANC and they stupid government was on Zinzi Mandela funeral and no one have a mask. Disgusting.  They do not follow their own rules.,1,,,
If this virus is so contagious why are masks and all items that risk coming in contact with it .  Not disposed of as clinical waste.,2,,,
"You can't make me cover my mouth when I cough or sneeze, that's taking away my freedom!",1,,,
Wear a mask! Please and Thank you!,3,,,
Should wear a sugical mask anywhere in this time of pandemic!,2,,,
Even though a mask cover cough or sneeze,3,,,
These passengers need masks! Quick get the sharpie!,3,,,
"Thanks to the World Health Organization advice is certainly an important one.  There is another way to escape from the Covid 19, such as having to think about how to disinfect the car seats with a completely clean Savlon.",5,,,
"WHO you’re behind time, masks are now mandatory on public transport almost everywhere",1,,,
A mask would be better and go with your other guidelines,3,,,
FAKE NEWS FAKE NEWS FAKE NEWS,1,,,
Omg lol well spotted,3,,,
First step,4,,,
People you May know coronaviras,3,,,
Ohky,3,,,
Please do not believe the SOUTH AFRICAN  COVID STATISTICS . ITS ALL FALSE... TO GET MONEY FROM WHO ..,1,,,
I agree,4,,,
*FULL MEANING OF COVID-19*  *CO ==> CORONA*  *VI ==> VIRUS*  *D-19 ==> DECEPTION 2019*          The Devil and All his Cohorts have failed  The New World Order has FAILED,1,,,
Somebody does thank me and God that put me here,3,,,
Agreed,4,,,
Tedros you piece of .  Liers.,1,,,
We are all in this together. Wear a mask and save lives. Check out our website for all your PPE needs.,3,,,
I always do that,3,,,
Thanks for reminding,5,,,
"Who has gone mad If you do not have strategy, contact me.  I have strategies to eradicate virus",1,,,
This is all BS for real,1,,,
God help us,3,,,
What a bloody joke,1,,,
True,4,,,
thank you,5,,,
"right, keep distance",4,,,
Exactly and don't forget to boost your immune system.,4,,,
very nice,5,,,
Good work who.,5,,,
