text,tag
Just so you all know!!  This is NOT the new normal!!  This is something that will end and we will recover!!  President Trump is working very hard to end wearing a mask and getting the kids back in school!!  I repeat THIS IS NOT THE NEW NORMAL!!  Vote Republican and get back to your life!!  Trump 2020!!,3
Take a closer look to event 201.,3
Stop calling it the new normal. It's not.,1
"I wish people like you WHO would stop saying that this is our new normal? NO, it isn't!!",2
"Stop spreading fear you fools, there is no corona and keep your fake tests to yourself",1
The new nOrmal ????? Is this Normal ???,2
The new normal? Get real Bill Gates. It won't be long before we all band together and say screw you and your fake Covid BS.,1
I remember when I believed a man in a cave brought down the twin towers........ then there's the WHO,1
And most importantly Avoid anything to do with the Death mongers at WHO...,1
. How about that,3
What they're saying about this is no different than what you'd do in order to avoid a cold or a flu. Duh. Stop trying to scare us.,1
And keep track of the numbers of DEATHS not CASES! Wear a MASK when you have the Flu or the common COLD so you don't spread it! Those ILLNESSES have been around for HUNDREDS of YEARS and NO ONE has been QUARANTINED because of them! But now the NEED to make us DEPENDENT on the GOVERNMENT happens to be BIGGER on the part of the LEFT so that THEY can CONTROL us more!,2
We are not your pawns! 99.99% of the population is healthy and doesn't have that fictional virus! Stop manipulating!,1
Sorry. This is not the new normal. This is some kind of dystopian rubbish.,1
Yet WHO released a statement praising Sweden and their approach to covid?! Complete turn around. Then you promote this still? You need to make up your mind because you're loosing control.,1
"Just buried a friend who was diagnosed with lung cancer in March, no treatment given because of the scamdemic. How many more of lost there lives like this.",2
99.9% i going to survive corona... Stay home stay dead. The new normal is china.,3
i cant believe WHO write statements The New Normal so horrible?,1
"New normal????? Not a chance, is anyone that is part of the WHO even a human being? It's pretty much ALL lies!!!!!",1
"Exactly what I believed all along and finally THE CDC ADMITS IT!! If this doesn't get you more than irritated, you can't read! We have been lied to this whole time!   This week, the CDC quietly updated the death count of Covid 19 to admit that only 6% of all the 161,392 deaths recorded in the United States ACTUALLY died from covid.   That's 9,682 deaths.  9,682 deaths; In a country of 327 million.   That's .0000296%  The other 94% had 2-3 EXISTING comorbidities that actually caused their death and 148,083 of the 161,392 deaths - 90% were over 55 years of age.   So of the people who died, 94% died from serious illnesses - not from covid.  9,682 deaths.  In a country of 327 million.   That's .0000296%  THERE IS NO PANDEMIC. It only took Dr. Fauci being out for surgery for the truth to be released.",1
And where in that did it say to wear a mask...  I'll wait.,3
"Since when was ""feeling sick"" a symptom?",2
Kindly advise when vaccines introduce for all people over the world. WHO should be take responsiabity to make sure vaccines...,3
"this could be right, necessary, to do thing, but please is NOT normal",4
Well this is nothing new! This is what people would ordinarily do anyway... no? The fact that we are being treated like 2 year olds is insulting!,1
"If we accept this new normal then it is, personally I don't accept this as the new normal. Just use common sense if you are sick and always be clean that's basic hygiene.",3
Its surprising people still dont even do the distancing hate going out where theres people ....,2
"In spain, there are MANEQUINS in shop windows wearing dam masks, and L'ORÃ‰AL HAIR COLOR POSTER!!! wearing this fam mask looooooool",3
"% survival rate should tell you everything you need to know! It's a joke, government's and organisation's lying to us!",1
I do those things but stop calling it any kind of normal because it is not,3
"Play your part - take Vitamin D and C, take Zinc, take Iodine and Selenium. ine available - many doctors claim that Zelenko and Marseilles HCQ protocol work, and you can tell they do because these protocols have not been studied - only a sabotaged protocol with 3x the dose.  Have fun, hug people, socialise to build your immune system.",3
"I am feeling bored, is this corona symptom?",3
Except for protests and riots. Those are just fine to go to without masks because science shows those did not cause any spike or rise in the Covid cases in the last couple months. Lol,1
I am seriously over this. Pandemic? really? Aligning us to the third world with restrictions and breaking the back of every small business in this country while government owned and big business have a different set of rules says it all.,1
"3 of staff are working overtime. We are tired but we still take a few minutes to rub a sore back, touch a cheek, hold a hand...... This is the untold side of elderly with what is happening. So if you think that ""we are saving the elderly"" with what we are doing.........we are NOT. Dying lonely is still dying. Copied from a friend.",3
"WHO? I can't breath by wearing the mask, our body system is design to breath fresh air!",3
Read the new CDC report on the actual deaths vs. the numbers reported. Only 6%.   Of course not on the news.,2
Take your new normal and shove it so far up where the sun don't shine.   No programming here,1
"I touch my face now more than I ever did before wearing a mask, so tell me how masks work if I'm still constantly adjusting my mask (because I wear glasses and can't stand them fogging up).",2
The new normal seems a bit excessive doesn't it?,2
"Despite the evidence - no mention of  taking more exercise and a more healthy diet to beat Covid? Why are these NEVER mentioned - Oh, I see.....",1
How about suggesting what we can do to build our immune system with vitamins  rather than imposing vaccines?,3
Apart from school it's ok for a teacher and kids to be in a small class room of 30 kids .,3
"Insane! Absolutely insane! This organization is criminal and needs immediate abolishment. It must also surrender all of its contributions, moneys and resources to those they have harmed. Absolute insanity to allow this group to have any authority or power over any living individual or public policy.",1
"The WHO giving out advice after being bought by China and failing the entire world.  Shut up,  your words are meaningless.",1
This is so good to see how many people are waking up to this fear fake pandemic control system,1
"Why are you not telling people to supplement their vitamin D, C and zinc.  If anyone is deficient they will be more at risk.",2
The new normal is a terrible slogan   It's a temporary reality one should hope,2
This is how you stop the virus: turn of your tv,3
And yet again no mention of the immune system and ways to strengthen and fortify it and therefore ourselves against this or any virus,2
"So when will you isolate the actual virus and prove its existence, then stop testing people for being human?",1
"This is not normal ..will never be the new normal,  stop with this rubbish ... !!!! If masks were so helpful we would if work them from.start .. if they work then let everyone stop distancing and allowed visit everyone in homes etc .. if they dont work then get them off our school.kids",1
"ecause new normal would be something here to stay, not a temporary situation.",3
Hey WHO. Shat uuuup!,1
"Understood, but I m health care worker, nurse, can I get leave for my illness?",3
"Lets believe in facts about covid-19, if there is something wrong that remained behind the curtains will soon reveal the truth. Following the guidelines is the best way to protect yourself & your loved ones from covid-19.",4
Should have advised this straight away when the virus was first reported in China. Then there wouldn't be all these idiots who can't understand how medical advice can change and going on about their human rights being violated. Apparently people have a human right to spread disease that I wasn't told about.,4
This is not normal. People can see through this .........why do we even need the WHO?,1
Not worn a mask since all this started haven't worn one since they were made â€˜mandatory' it's my health and well-being and only I shall be responsible for deciding what is best for me.,3
"Take your ""new normal"", ball it up, bend over, and start pushing",1
"Yep. We should all stay home, not go anywhere or do anything until the virus is gone. Just like we do every year for the Flu or any other virus. Oh wait, we don't do that!! Stop living in fear. But don't worry, this will all magically disappear after Trump is re-elected.",1
ust use common sense but don't live in fear,3
"That's NOT a new normal, it's a temporary exception until science has found a way to effectively fight it and turn it into another common virus.",3
"Nope not my New Normal at all, either we go back to normal or we don't",1
"While I do understand why u say cleen hands often , it is super bad to do it too often. There are even good things on our skin ....",2
You cant avoid the children touching their face if they have to remove their mask umpteen times a day at school and as for washing their hands regularly in between classes must be impossible,2
The greatest prison people live in is fear,3
Our children  are being sent into schools where none of this will be practically possible!!,2
WHO is a fake layer manipulator corrupted organisation ! Infiltrated by Bull Gates and Cie to manipulate and control people on the Planet ! End of story !,1
"Could we stop using the term new normal. People don't want to be fed a fearful prediction of a never ending future of masks, ocd hygiene practices, and isolation. I am beginning to feel that this is the number one reason for resistance to these measures. We don't know how long the current normal will last, so let's leave it there. Call it the Current Normal",2
Shut the hell up we don't need the W.H.O.  To tell us anything.,1
New Normal?  Setting this up like it's permanent??  I hope Canada de-funds you too!  What a bunch of snakes.,1
How come we could have a cure soon yet we cant find a cure for cancer?? Is it because of all the billions of pounds people donate???? We know your game and people need to stop fund raising and donations because if you dont..they will never find a cure. Wise up people,1
"If it's recommended by the WHO, ignore.",1
"It's not my new norm  it's  not making me scared, no different to any other flu just this one they want to install fear into you, none of it makes sense or adding up wake up ppl your being played",2
The mask is a waste of time as is proved by what happened  in china they wear them all the time it didn't  stop the spread,3
The â€œNew normalâ€ has killed hundreds of thousands of people with lockdown measures and cancelations of critical treatments when are the who and the politicians and media going to face at the very very least manslaughter charges for that ?,1
Eileen McCafferty I had a slight headache yesterday accompanied with body aches couldn't go to work I had to call my doctor for a sick letter for my work. Was surprised she asked me to go have the corona test done she quickly made the appointment and I went over to the hospital to have the test  done few hours later the result was out to my shock I am positive how ?when ?where ? I'm confused this can't be Covid 19 because I feel just fine this morning with no pain or what so ever this can't be the Covid that's killing people like seriously  I think there is a mistake somewhere,3
The planet earth is beautiful and lively. We have everything that makes life easy and healthy for us. The only problem the planet has is WHO.,1
Why is this crap appearing in my new feed. The clown with the mustache - I wouldnt trust him! Or the Fauch for that matter either!,1
Please don't call it the 'new normal' - I think everyone agrees we never want this situation to feel like 'normal',2
The new normal should be to get rid of the WHO!  Bad propaganda and is meant to scare humanity! Evil,1
"In my country we have forgotten even the name corona, we are crowding as usual no face mask , no lockdown, we never heard of corona death case, our president Conduct events in crowded we are safe here ,Tanzania",2
"Stop spreading the fear! Stop Tedros and dump him in Etheopia, let's see how his people react on him. Let's get rid of the world hoax organisation, wath rpthe video of The Highwire about the who convention in Geneva where they admot they haven't got a clou about the effects of vaccins!",1
You must have missed the memo.  The CDC says the hoax is over.  Now go away with this nonsense.,1
We are not fools this is just Common sense and good hygiene Most People practice this every day . I do not do new normal . Your organisation should stop this fear mongering . You are the virus,1
Not normal. If I'd been intended to have a mask I'd have been born with one... We were not meant to live this way and life has little value doing so. It's completely unnatural.,1
Don't wear mask but follow the hygienic rules all over the year would be a better instruction!,4
But then we are encouraged to go to a crowded restaurant for half price meals,3
I think the distance should be over 2 meters.,3
And take your bloody vaccines... WHO and Bill and Melinda Gates foundation,1
This is not my new normal or my families & it never will be! Stop your Lies!,1
"So I have to stay home if I'm feeling sick? Oh Ok, guess I'll let my toddler go do the shopping himself  if this is the new norm I'm leaving this god forsaken country",1
I can not see why an Emergency should be considered â€œthe new normalâ€. Some of These are appropriate measures always. Some are debatable (What ever happened to the good old hanky?) and some have scientifically little credibility,3
Let's get back to a healthy respect of this thing but  We need to return to our normal lives  Please,2
"New Normal is just a modern rendition of New World Order. This isn't about the masks, it's about your willingness to comply with whatever they tell you. This is a precursor or test run for The Mark. In many places you aren't permitted to shop without having and wearing a mask. Everything is being carefully orchestrated for this purpose. The New Normal is inevitable, it's simply a question of whether or not you will comply with this or face the possibility of death with your refusal.",1
"Can we report this post for being irksome! People need people. Refuse for social distancing to be my new normal.  Disclaimer: I wear the mask, I do the things but isolating people is a mistake.",2
"ummm how about eat healthy food, breathe fresh air, be in the sunshine, reduce stress??",3
"Stop blaming people, if WHO was serious they should of stop problem creators, such as big pharmas Bill Gates and alike with ideology of reducing populations and other upcoming problems.",1
There is nothing 'normal' about this 'new normal',1
I stopped listening to all of these so called professionals back in February a bunch of idiots all out for themselves. Do what you think is best for you and your loved ones.  Done with WHO and the CDC something different every week?!,1
If the WHO told the truth our world would not be in this mess.,1
"It's not a new normal. It's not normal. Many doctors and scientists around the world are calling the global situation into question. The world has been conducting their own independent research. The truth of the matter is becoming an open secret. Truth over ""the facts"".",1
I love the way they are still trying to control us..Theyve been incompetent this whole time..No one trust anything they say ..They just need to back into the bushes and shut the hell up.,1
"Our family has worked, had big get togethers and continued our life as normal through it all, quit trying to scare people!",1
"Funny how you cant find how many people have died of seasonal flu this year- thats because covid is our seasonal flu- so now perhaps its time we get back to our lives and realise that 99,9% of people survive and have a mild illness. However the impact is suicide, child abuse, divorce, bankruptcy and may other issues are climbing high. We all get in cars every day but the figures of risk far outweigh covid. Have we banned cigarettes or alcohol for the biggest cause of death and ill heath in the world ? No- Life is risky and we should take the toll like centuries before us. Anarchy, disruption and depression far outweigh the impact of covid- have we got the guts to try?",2
"WHO is trying its utmost best to stay relevant in people's lives, but it (WHO) is failing miserably. People have become smarter and are able to see the obvious lies dished out by WHO. Bye, bye, WHO, keep on wasting your time.",1
NO it's not â€œnew normalâ€ this slogans should be not allowed that's only Psychological attack on people. Complete brainwashing,1
"The Narratives keeps changing, they are running out of ideas to scare more people off with the lies....",2
"SInce when a foot is a hand? because if you follow the little lines they draw, that's what they mean. You really take people for stupid ones. WHO is a fraud, or at least the people who own it.",1
It's not normal for me and never will be,1
"This isn't â€œthe new normalâ€, there is nothing normal about forcing one to wear a face covering while going outside. If one is ill or sick they should stay home, or wear the covering if they wish. But in a free country no one should be forced to do anything such as this, this is absurd. It is essential for us to breathe in fresh air, interact with others, which in turn will help build our immune systems, build antibodies and antigens to fight off this or other viruses. We can do it with our own health, that's what we should focus on. Our amazing bodies have that ability to battle so much, we should not fight against our bodies and hide, or wear masks.",1
prosecute these terrorists,1
"Why we continue and talk for Pandemic when have been proved was not. Countries was counting every death as covid, this all know now. So why continue talk about it? all the rest is rabish",2
"ly, I trust my own intelligence and senses, and if there is too much contradiction between what I see, hear, sense and feel and what I am told, naturally I become alert.",2
"All i see is that some people and companies got very rich from this pandemic, and most very poor...",2
Stop its over corona is not there .....so dont play with people minds ....ur playing game   in the name of corona  ...,1
"Feel sick? Stay at home where you can contaminate your loved ones, and only call for help once it's too late and you need an ambulance.  Great advice...  Seriously...",1
Did you know that if they recorded flu deaths like they record corona (testing dead people for antibodies) all deaths would be documented as caused by flu. Wake up!,1
"They shouldn't have given the virus a name... every year thousands of people get very sick and nobody panicked. And bam 2020 arrives, flu season, new name for the flu... fear strikes.. every body panics..",2
mebody has to get this story straight. We've been held hostage long enough.,1
"Has the W.H.O. agreed upon a definition of health yet?!?!  Listen to the ""experts"" on how to be healthy when they can't even agree upon what it means to be healthy.",2
Stick the new Covid normal where the sun doesn't shine Biggest overreaction in the history of the world  This is  a  another reason why Aliens won't visit,2
Its not the new normal...its temporary!!!!!,3
Spread the fear & the scam to bring countries to there knees! Well done WHO,1
"it's quite worth to be having that all is required like masks, washing hands and sanitizing often and maintaining a social distancing  for a better healthy and well staying. ...",4
If anyone believes anything this organisation says the you need your head testing,1
Common sense which apparently not many people have now days.uts has 99.9 percent recovery rate. Please tell me why we closed the world down ruined working people.our children are paying for this nonsense.open everything back up stop playing with the American people.if your sick stay home.,3
NOT NORMAL & this will not be forever...,1
"WHO you can not keep   distance from God and all your ""health"" motivations .",3
The temporary normal.. the abnormal.. still pushing this virus to be the most apocalyptic thing on Earth.. data seems far from it.. appears it has turned into a scamdemic.. just look who has ties to the W.H.O and the people pushing mandatory vaccines.. the mainstream media propaganda machine heavy involvement is enough to ring alarm bells alone.. crest hysterical and panic/fear.. then you get control.. thankfully a lot of people are seeing through this now,1
Covid is over! Stand up for your freedom! Throw away your mask! Let's get back to living!,3
",  then WHY  is 99. 55 %, of the nation paying their price ??",1
"This is not the new normal ,you are unnormal! Actually YOU WHO lead us to this situation and now you demand from us to except a life as you wish. We answer NO and we will take our life back !",1
"Soooo.... basic hygiene, like we should have always been practising, to not catch ANY illness? Gotcha",3
"Absolute rubbish, it's no worse than the common cold & can be treated according to the experts in this field !! And I won't accept it as the new normal there's nothing normal about it.",1
Easy to do. And methods that make sense. Only one I am missing is to open your Windows frequently.,4
6% of people actually Died from Covid19! Stop the Fearmongering!,1
Unless you're in a school,3
"Screw the ""New Normal"". First of all I will say covid-19 does exist. But the information coming out in the MSM associated with it is to control you, not to protect you. Because most of the information is highly exaggerated to the point of lies. I will not live in fear because fear is what they're using to control us.",1
So off you pop and don't hurry back!,3
"You are all going to end up in a very very dark, gloomy, miserable place for every evil you do to people all over the world",1
So why is the 'gentleman' that is the head of WHO a man that caused 'crimes against humanity' in his country?,1
Sorry but your advice on face coverings is so wrong as it is now giving people a false sense of security as they are now being less strict on hygiene and social distancing the message should be 1st Line of Defence is Hygiene 2nd Line of Defence is Social Distancing 3rd Line of Defence is a face covering if necessary. People are not maintaining hygiene and social distancing when they have a face covering from what I can see on a daily basis therefore you are enabling a 2nd wave due to your mixed messages not good at all so get it right and get all the government's in unison,1
You currently have more chance of dying from seasonal influenza than Covid 19,3
"What we urgendly need is a WHO free of private financing, instead alone  supported and financed by all democratic nations wordwide.",3
"Never understand why coughing into unwashable elbow is advised, rather than into hands then wash them",2
"Lots of people testing positive but no hospital admissions and nobody poorly, its just like people are getting a cold now! Not my new normal",2
"No one to this post take serious because everyone is well known about this plandemic virus so mr.WHO you may shut your mouth and let the people do their work in normal conditions that they always do, don't fool them",1
"I refuse, end of discussion. Why is this even showing up on my feed?",1
You guys are done for ! The great awakening is happening now . Pack your bags,1
"I say NO to the ""New normal""",1
"If they cared about health, they'd focus on far bigger killers like poverty or malaria. This is a big pitch for vaccines and authoritarian control.",1
"There is absolutely nothing NORMAL about this! It isn't NORMAL just because you say it it. Normal is just that, this is ABNORMAL! So say that instead.",1
"How do I get rid of this stupid stuff from WHO?  What, when, where?   I don't want to see their junk anymore!",1
Yeah don't call it new normal. There is nothing normal about people living in fear,2
How many times parents took their children to Gp and heard it's just a virus we can't give you anything for it and now this,3
"Stay home, but limit time in enclosed spaces. I think I just became schizophrenic.",4
protocols coz they found out thats a common cold/flu and its curable.,3
Am i supposed to cough into my elbow while wearing the mask? Isn't the point of the mask to stop it? If not what is the point? Also it was just released that 94% of people who died had underlying conditions. Most of those conditions were the flu and pneumonia. So why would this be the new normal for healthy people?,1
can i touch my elbow if i cough in to it? .. is washing my elbow ok  or will that spread it to my forearm ?.. still not touched my face in 8 months now.. it really has stopped the virus spreading .. Boris is a Genius.,3
"can anyone tell me how is the situation in Italy,its been a while I never hear anything about Italy",3
"Well the CDC has just corrected their covid death numbers showing that only 6% of those deaths were *actually* covid, but ok let's keep playing I guess....",3
At least you could have hidden that you keep 1984 Orwell's book as a manual!,3
"Is not my new normal. U can't control my life. Am wearing no such mask, I hug more than ever and am living my life. That's ur cross. U can't be trusted",1
Those people  are trying to set â€œnew world orderâ€ like it was mentioned in the Bible ..,1
Fear fear fear spreading faster then this virus. Turn off the TV beautiful people. Glad so many are awake to this.,1
This is not normal Don't fall for this folks...,2
I used to laugh at conspiracy theorists talking about the United Nations taking over and the whole New World Order... these days I'm not so sure they were wrong.,2
I build and protect my immune system....so should everyone else,3
You give this advice and yet schools are being forced to reopen which goes against this!!!!!!,2
"Look at all these awesome comments! WHO - your gig is UP! We dont want your 'new normal' ..its a temporary abnormal, thanks. Now leave us alone please.",1
People need to block this immediately! this is scary. New Normal?? All this for a virus that has a mortality rate of 0.3%??? Wake up kids before its too late!,1
"I though we were supposed to ""flatten the curve"", not ""stop the virus""?  Stopping the virus is an irrational goal when it's gone pandemic, and it will only lead to a waste of resources to pursue this plan.  the politicians' narrative will change. It's when they go back to their usual ""people are dying in the streets"".  ""Flatten the curve"" was just the pillow talk that would lure us in. They had other plans all along.  We gave that inch, now they're taking the mile.",2
How bout we explain to people what nutrition does for the immune system. This virus is killing people because of preexisting ailments! Our sugar culture is killing everyone! Super size that!,2
This is the only WHO I'll listen to.,4
Catch the coronavirus and get over it,3
What I can't understand is why you cough into your elbow then rub them against a person as a greeting ...... shaking hands that are always washed would be better really. What does everyone think of that .,3
"caughing, while others shall be respected in case of infection, like whearing a mask, while staying at home should be mandatory when symptoms are present. Should not be for everybody and forever.",3
"How do you not touch mask, but cough into elbow wash hand offten but germs every where people wearing mask but still get sick, and everyday people die some die rapidly of many causes, virus come and go. And man is not "" A Creator "" of good. While making hell . what I know is radition is running more rapidly through the body and affect the orgins, causes same system headaches, eye pain, fever explode the organs ect; what Zombies we are. These Devils use humans as their "" GREED "" ESCAPE goats there is more too come wake the "" HELL Up "". We wait for news about our "" Death "" thats coming.",3
How can it stop when it has become a game of polities... Our leaders are rather using it to fetch money,1
"â€œThe New Normalâ€?? Seriously WHO go F yourself, it's obvious what your are supporting with this hoax on humanity. Looking forward to when your handlers are behind bars, oh wait it's already happening, Bill and the Gates foundation found guilty, crimes against humanity etc.",1
With that make astronaut suit mandatory!,3
"This is not the new normal,  it is the common cold and who is using that to control you",1
"We have always dealt with illness and viruses. Building individual immunity might not be a bad idea. Plus I thought that we learned too much sanitization wasn't good because it allows the bad bugs to thrive by killing off good bacteria. There is so much fear involved with our current situation. Many of us have been very, considerate (mask), hygienic (sanitizaton) and as healthy as possible during all of this which is great but please continue to educate, check the current status of the CDC concerning Corona Virus and actual deaths.",3
"Instead of constantly sharing ways that aren't helping our immune systems be stronger - share tips on how to adapt a healthier lifestyle, build immune system to fight viruses etc, and a healthier diet",2
"Take care of your body by eating healthy, exercising, driking water and getting plenty of sleep. Take care of your mind and soul with healing, continous learning, professional growth and a ton of books. Oh, and chose love over fear. â€œWHOâ€'s with me on this?",3
Explain the rotavirus vaccination that had been banned in France after the death and permanent harm to babies and they are still using it,2
"elbow, face masked   and hygiene is the best way we can achieve to gather good health via the worldwide. Preventive medicine is the better than curative, absolutely",4
Why on earth would you advise people to seek urgent medical care simply because they feel sick? Suddenly humans are incapable of managing their symptoms! How many times do we feel sick in our lives and it passes without a second thought?! Unbelievable!,1
Dosen't say anything about a mask so Stop wearing them,3
"btw, how can we sanitize our brains after reading such nonsenses as this one?",1
You want it to be the new normal that's all,1
If we use the already safe and proven drugs like HCQ etc then we can certainly return to normal life and treat the China virus as it occurs.,3
"No such thing as a new normal FAITH IS A SUBTANCE OF THINGS HOPED FOR THE EVIDENCE OF THINGS NOT SEEN. AND IT CAME TO PAST, AND IT WILL PASS",3
I agree. Ok but my Husband works and i dont. We sleep in the same bed. So yes i dont fully understand how i must stay 1metre away from him. I make food and he sits in the kitchen.  Just saying,4
"This post and all of your comments make me smile.  Every last complaint, on this post, makes me smile.  There IS hope for humanity!                                                                                     It took me a bit of scrolling, but I found one",3
I refuse to accept this as the â€œnew normalâ€. The WHO needs to stop pushing propaganda.,1
Stop calling it the new normal .  ALL of the things on your list are things society has been doing for ever.   None of this is new.,2
s is the great healer great shield against covid19,3
This is 10 months after these clowns screwed the world  We haven't even had 25million infections Bird flu 51 million  Infection no destruction of the world   WHO WHY WHAT,1
Im feeling sick of not working does this mean I need to go see the doctor?,3
Who are you? A bunch of over paid scam artist. Blow your trumpet somewhere else.,1
This is not a new normal.,3
This is never going to be my normal,2
Where was all the concern for others when second hand smoke was killing more than covid 19 ?,1
I see laughing faces.   What is funny about this?  My sister has been on live support since July 30th due to the  COV'D.  Nothing to laugh about,1
"Covid19 is here to stay just like all the other viruses, we have to live by with the new normal. Stay home to be safe as much as possible. Follow all health protocols.",4
NO NO NO! Nothing normal about it! Let's move on now...,3
"whatever happened to use a hankie, some snezzes can be just yuck, u really want to walk around with snot in your elbow,, not me..",3
All the thing we were doing before COVID-19. I find it strange that it doesn't say wear a mask... The picture suggest it but it doesn't say wear a mask. Mask work right?,2
"Vitamin D, Boost your immune system by exercising, eat right",3
There is no new normal there is nothing normal about it,2
"Most of this just sound like good hygiene to me. Been doing this for years. Nothing ""new.""",3
"""The new normal"" look how they slipped in the 1 meter rule now, not 2.. just like the media changed, their line to: Died ""with"" Covid, not ""Of"" covid... how are you not seeing it yet?",1
Don't go into crowded places unless your RIOTING!,3
The cdc said 6' might not have been far enough now who says 3' is enough,2
Do the exact opposite if you want to be healthy and keep your freedoms.,2
"little hint to WHO officials, you are going to trial for the crimes against humanity, after all this crap is over",1
Social engineering at its finest! There wont be any â€˜New Normal'. Sick,1
s that you're supposed to do anyway.........,3
What is new about good hygiene?,3
Not new normal maybe for atleast another year two at most but it's not lasting forever,4
THIS IS NOT MY NORMAL! AND I WILL NOT LAY DOWN AND EXCEPT IT.,1
How can we stay at least one meter apart when our transport vehicles have been issued by the Government for passengers to sit right next to each other??,2
If the WHO calls this the new normal then let be theirs not ours.,1
We've been following these orders for 6 months now and it hasn't stopped  ....Time to acknowledge you DON'T KNOW WHAT YOU ARE DOING!,1
"I will never, ever have your "" new normal"".",1
H1N1 was worse than this AND WE SURVIVED! Without all the BS,1
"When you use the term ""new normal"" I am legally allowed to throat punch you.",1
I go to the store and everybody touches the food and items isn't that called cross contamination..,3
We also need to make sure studies are accurate before we publish results,3
Why the mask on the poster when the WHO have already admitted they don't work,2
